Sample1	Sample2	CommonSites_10x
E400_POOLRET72_S275_L002.markduplicates	H7GWFDSX7_G200_POOLRET74.markduplicates	97229064
E401_POOLRET73_S389_L003.markduplicates	G201_POOLRET73_S509_L003.markduplicates	75124757
E402_POOLRET72_S359_L002.markduplicates	G202_POOLRET73_S446_L003.markduplicates	90959366
E403_POOLRET73_S421_L003.markduplicates	G203_POOLRET72_S273_L002.markduplicates	83126511
E404_POOLRET72_S280_L002.markduplicates	G204_POOLRET73_S504_L003.markduplicates	90637715
E406_POOLRET73_S403_L003.markduplicates	G206_POOLRET73_S465_L003.markduplicates	93174718
E407_POOLRET73_S467_L003.markduplicates	H7GWFDSX7_G207_POOLRET74.markduplicates	93325225
E408_POOLRET72_S251_L002.markduplicates	H7GWFDSX7_G208_POOLRET74.markduplicates	97331677
E410_POOLRET73_S390_L003.markduplicates	G210_POOLRET73_S494_L003.markduplicates	95816229
E411_POOLRET72_S300_L002.markduplicates	G211_POOLRET73_S395_L003.markduplicates	82617524
E414_POOLRET72_S368_L002.markduplicates	G214_POOLRET72_S332_L002.markduplicates	94231912
E415_POOLRET72_S354_L002.markduplicates	G215_POOLRET72_S264_L002.markduplicates	92362179
E416_POOLRET73_S423_L003.markduplicates	G216_POOLRET73_S502_L003.markduplicates	93703340
E417_POOLRET73_S445_L003.markduplicates	G217_POOLRET73_S397_L003.markduplicates	76028835
E418_POOLRET73_S500_L003.markduplicates	G218_POOLRET73_S521_L003.markduplicates	94080854
E419_POOLRET73_S523_L003.markduplicates	G219_POOLRET73_S574_L003.markduplicates	87221270
E420_POOLRET72_S210_L002.markduplicates	H7GWFDSX7_G220_POOLRET74.markduplicates	94880563
E421_POOLRET73_S567_L003.markduplicates	G221_POOLRET72_S308_L002.markduplicates	86748106
E422_POOLRET73_S561_L003.markduplicates	G222_POOLRET72_S297_L002.markduplicates	91850731
E424_POOLRET72_S370_L002.markduplicates	G224_POOLRET73_S441_L003.markduplicates	93855846
E425_POOLRET73_S563_L003.markduplicates	H7GWFDSX7_G225_POOLRET74.markduplicates	95416356
E426_POOLRET72_S234_L002.markduplicates	G226_POOLRET72_S258_L002.markduplicates	94906898
E429_POOLRET73_S533_L003.markduplicates	G229_POOLRET73_S539_L003.markduplicates	94710952
E430_POOLRET72_S380_L002.markduplicates	G230_POOLRET73_S458_L003.markduplicates	95883069
