Unnamed: 0,Tr,Block,Gen,Genassay,Linex,Sublinex,CI,lnCI,lnCIx,O1_totalmutsx,O2_totalmutsx,Totalmutsx,GenotypeIndex
0,G0,1,0.0,G0,1,1,0.164179104,-1.806797347,-1.806797347,0.0,0.0,0.0,0
1,G0,1,0.0,G0,1,1,0.258741259,-1.351926718,-1.351926718,0.0,0.0,0.0,0
2,G0,1,0.0,G0,1,1,0.621052632,-0.476339448,-0.476339448,0.0,0.0,0.0,0
3,G0,1,0.0,G0,1,1,0.245210728,-1.405637324,-1.405637324,0.0,0.0,0.0,0
4,G0,1,0.0,G0,1,1,0.445121951,-0.809406987,-0.809406987,0.0,0.0,0.0,0
5,G0,1,0.0,G0,1,1,0.347457627,-1.057112558,-1.057112558,0.0,0.0,0.0,0
6,G0,1,0.0,G0,1,1,4.243243243,1.445327893,1.445327893,0.0,0.0,0.0,0
7,G0,1,0.0,G0,2,2,2.098360656,0.7411564,0.7411564,0.0,0.0,0.0,1
8,G0,1,0.0,G0,2,2,0.820512821,-0.197825743,-0.197825743,0.0,0.0,0.0,1
9,G0,1,0.0,G0,2,2,3.081081081,1.125280536,1.125280536,0.0,0.0,0.0,1
10,G0,1,0.0,G0,2,2,1.0,0.0,0.0,0.0,0.0,0.0,1
11,G0,1,0.0,G0,2,2,14.36363636,2.66469976,2.66469976,0.0,0.0,0.0,1
12,G0,1,0.0,G0,2,2,0.545454545,-0.606135804,-0.606135804,0.0,0.0,0.0,1
14,G0,1,0.0,G0,3,3,6.526315789,1.875842586,1.875842586,0.0,0.0,0.0,2
15,G0,1,0.0,G0,3,3,2.702702703,0.994252273,0.994252273,0.0,0.0,0.0,2
16,G0,1,0.0,G0,3,3,1.018348624,0.018182319,0.018182319,0.0,0.0,0.0,2
17,G0,1,0.0,G0,3,3,0.520325203,-0.653301272,-0.653301272,0.0,0.0,0.0,2
18,G0,1,0.0,G0,3,3,1.606557377,0.474093614,0.474093614,0.0,0.0,0.0,2
19,G0,1,0.0,G0,3,3,0.296774194,-1.21478372,-1.21478372,0.0,0.0,0.0,2
20,G0,1,0.0,G0,3,3,1.725490196,0.545511182,0.545511182,0.0,0.0,0.0,2
21,G0,1,0.0,G0,4,4,0.629213483,-0.463284679,-0.463284679,0.0,0.0,0.0,3
22,G0,1,0.0,G0,4,4,0.579545455,-0.545511182,-0.545511182,0.0,0.0,0.0,3
24,G0,1,0.0,G0,4,4,0.449275362,-0.8001193,-0.8001193,0.0,0.0,0.0,3
25,G0,1,0.0,G0,4,4,1.12987013,0.122102697,0.122102697,0.0,0.0,0.0,3
26,G0,1,0.0,G0,4,4,0.231111111,-1.464856684,-1.464856684,0.0,0.0,0.0,3
27,G0,1,0.0,G0,4,4,0.673913043,-0.394654192,-0.394654192,0.0,0.0,0.0,3
28,G0,1,0.0,G0,5,5,12.14285714,2.496741107,2.496741107,0.0,0.0,0.0,4
29,G0,1,0.0,G0,5,5,2.551020408,0.936493439,0.936493439,0.0,0.0,0.0,4
30,G0,1,0.0,G0,5,5,0.476510067,-0.741266429,-0.741266429,0.0,0.0,0.0,4
31,G0,1,0.0,G0,5,5,0.430463576,-0.842892567,-0.842892567,0.0,0.0,0.0,4
32,G0,1,0.0,G0,5,5,0.588785047,-0.529694108,-0.529694108,0.0,0.0,0.0,4
33,G0,1,0.0,G0,5,5,0.140909091,-1.959640342,-1.959640342,0.0,0.0,0.0,4
34,G0,1,0.0,G0,5,5,4.111111111,1.413693335,1.413693335,0.0,0.0,0.0,4
35,G0,1,0.0,G0,6,6,0.696969697,-0.361013346,-0.361013346,0.0,0.0,0.0,5
36,G0,1,0.0,G0,6,6,0.657657658,-0.41907076,-0.41907076,0.0,0.0,0.0,5
37,G0,1,0.0,G0,6,6,0.164102564,-1.807263656,-1.807263656,0.0,0.0,0.0,5
38,G0,1,0.0,G0,6,6,2.5,0.916290732,0.916290732,0.0,0.0,0.0,5
39,G0,1,0.0,G0,6,6,0.551181102,-0.595691844,-0.595691844,0.0,0.0,0.0,5
40,G0,1,0.0,G0,6,6,0.809090909,-0.211843996,-0.211843996,0.0,0.0,0.0,5
41,G0,1,0.0,G0,6,6,8.916666667,2.187922185,2.187922185,0.0,0.0,0.0,5
42,G0,1,0.0,G0,7,7,1.5,0.405465108,0.405465108,0.0,0.0,0.0,6
43,G0,1,0.0,G0,7,7,1.578947368,0.456758402,0.456758402,0.0,0.0,0.0,6
44,G0,1,0.0,G0,7,7,0.423423423,-0.8593826,-0.8593826,0.0,0.0,0.0,6
