"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",400,1,12,10,4,12,6,8,52,0.969513942,11,1,12,64
"E401_POOLRET73_S389_L003",401,1,7,2,0,5,0,14,28,0.749102134,8,3,11,39
"E402_POOLRET72_S359_L002",402,1,12,2,6,6,1,10,37,0.906996014,3,3,6,43
"E403_POOLRET73_S421_L003",403,1,12,2,5,8,9,10,46,0.828891157,12,1,13,59
"E404_POOLRET72_S280_L002",404,1,15,0,4,4,3,5,31,0.90378869,4,3,7,38
"E406_POOLRET73_S403_L003",406,1,14,5,5,5,3,9,41,0.929086268,10,4,14,55
"E407_POOLRET73_S467_L003",407,1,12,7,6,7,2,11,45,0.930587039,4,5,9,54
"E408_POOLRET72_S251_L002",408,1,10,2,2,2,1,11,28,0.970537142,3,4,7,35
"E410_POOLRET73_S390_L003",410,1,9,4,2,7,5,6,33,0.955425941,10,4,14,47
"E411_POOLRET72_S300_L002",411,1,13,5,4,9,3,11,45,0.823815823,4,3,7,52
"E414_POOLRET72_S368_L002",414,1,21,0,7,4,5,13,50,0.939628016,4,2,6,56
"E415_POOLRET72_S354_L002",415,1,12,3,4,3,4,11,37,0.920984082,2,1,3,40
"E416_POOLRET73_S423_L003",416,1,12,2,3,1,3,4,25,0.934357391,0,2,2,27
"E417_POOLRET73_S445_L003",417,1,12,9,8,7,1,9,46,0.758117095,4,4,8,54
"E418_POOLRET73_S500_L003",418,1,14,4,2,12,4,16,52,0.93812175,5,2,7,59
"E419_POOLRET73_S523_L003",419,1,6,4,6,10,8,7,41,0.869721808,11,4,15,56
"E420_POOLRET72_S210_L002",420,1,16,4,6,9,5,16,56,0.946096002,8,1,9,65
"E421_POOLRET73_S567_L003",421,1,9,3,3,6,3,6,30,0.865003681,6,3,9,39
"E422_POOLRET73_S561_L003",422,1,5,3,5,6,4,11,34,0.915884208,6,5,11,45
"E424_POOLRET72_S370_L002",424,1,8,4,7,7,3,18,47,0.935878096,11,3,14,61
"E425_POOLRET73_S563_L003",425,1,10,3,4,7,1,16,41,0.95143863,12,4,16,57
"E426_POOLRET72_S234_L002",426,1,13,3,9,8,3,9,45,0.9463586,14,36,50,95
"E429_POOLRET73_S533_L003",429,1,15,2,9,7,4,9,46,0.944404735,4,1,5,51
"E430_POOLRET72_S380_L002",430,1,8,4,8,4,6,8,38,0.956092432,1,2,3,41
"E431_POOLRET73_S454_L003",431,1,15,1,4,4,7,4,35,0.957279073,9,8,17,52
"E432_POOLRET72_S367_L002",432,1,10,3,6,4,4,4,31,0.777747294,3,1,4,35
"E433_POOLRET72_S200_L002",433,1,12,1,3,2,5,9,32,0.823912845,4,4,8,40
"E434_POOLRET72_S202_L002",434,1,16,4,3,5,3,10,41,0.777353911,8,1,9,50
"E435_POOLRET72_S378_L002",435,1,9,4,8,2,3,10,36,0.730347657,4,2,6,42
"E436_POOLRET72_S320_L002",436,1,13,6,5,3,5,10,42,0.961339145,4,6,10,52
"E437_POOLRET72_S315_L002",437,1,15,3,9,8,3,12,50,0.934819258,5,2,7,57
"E438_POOLRET72_S246_L002",438,1,8,3,5,1,5,16,38,0.971760877,14,4,18,56
"E439_POOLRET73_S425_L003",439,1,11,0,6,5,2,5,29,0.904403779,4,2,6,35
"E440_POOLRET73_S385_L003",440,1,12,6,5,7,1,7,38,0.913801812,6,3,9,47
"E441_POOLRET72_S363_L002",441,1,12,2,6,6,2,8,36,0.934730742,9,4,13,49
"E442_POOLRET72_S350_L002",442,1,9,4,10,7,4,9,43,0.944196851,8,6,14,57
"E444_POOLRET73_S442_L003",444,1,12,3,5,5,8,12,45,0.947487975,5,2,7,52
