"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",400,1,11,10,4,10,4,4,43,0.969513942,6,0,6,49
"E401_POOLRET73_S389_L003",401,1,7,2,0,5,0,6,20,0.749102134,6,1,7,27
"E402_POOLRET72_S359_L002",402,1,12,2,5,6,0,7,32,0.906996014,1,2,3,35
"E403_POOLRET73_S421_L003",403,1,11,2,4,8,8,4,37,0.828891157,11,0,11,48
"E404_POOLRET72_S280_L002",404,1,12,0,4,2,1,2,21,0.90378869,2,3,5,26
"E406_POOLRET73_S403_L003",406,1,13,5,5,5,3,6,37,0.929086268,6,3,9,46
"E407_POOLRET73_S467_L003",407,1,12,7,6,6,2,7,40,0.930587039,3,3,6,46
"E408_POOLRET72_S251_L002",408,1,8,2,2,2,1,5,20,0.970537142,1,2,3,23
"E410_POOLRET73_S390_L003",410,1,9,4,2,6,4,2,27,0.955425941,8,3,11,38
"E411_POOLRET72_S300_L002",411,1,12,5,3,7,2,7,36,0.823815823,1,2,3,39
"E414_POOLRET72_S368_L002",414,1,20,0,7,4,4,6,41,0.939628016,3,0,3,44
"E415_POOLRET72_S354_L002",415,1,12,3,4,3,4,9,35,0.920984082,2,1,3,38
"E416_POOLRET73_S423_L003",416,1,10,0,3,1,3,0,17,0.934357391,0,1,1,18
"E417_POOLRET73_S445_L003",417,1,12,9,8,7,1,4,41,0.758117095,2,3,5,46
"E418_POOLRET73_S500_L003",418,1,14,4,1,10,3,6,38,0.93812175,2,0,2,40
"E419_POOLRET73_S523_L003",419,1,6,4,6,9,7,3,35,0.869721808,11,3,14,49
"E420_POOLRET72_S210_L002",420,1,16,4,4,8,5,6,43,0.946096002,4,1,5,48
"E421_POOLRET73_S567_L003",421,1,9,3,3,5,3,0,23,0.865003681,6,1,7,30
"E422_POOLRET73_S561_L003",422,1,5,3,5,6,3,4,26,0.915884208,6,2,8,34
