"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",400,1,3,3,4,5,5,3,23,0.969513942,6,0,6,29
"E401_POOLRET73_S389_L003",401,1,3,0,0,1,0,7,11,0.749102134,3,1,4,15
"E402_POOLRET72_S359_L002",402,1,3,0,2,4,0,6,15,0.906996014,2,0,2,17
"E403_POOLRET73_S421_L003",403,1,4,0,3,5,4,2,18,0.828891157,6,0,6,24
"E404_POOLRET72_S280_L002",404,1,7,0,0,2,1,2,12,0.90378869,1,2,3,15
"E406_POOLRET73_S403_L003",406,1,9,0,2,2,0,2,15,0.929086268,4,0,4,19
"E407_POOLRET73_S467_L003",407,1,6,3,5,2,1,7,24,0.930587039,0,2,2,26
"E408_POOLRET72_S251_L002",408,1,4,0,1,2,1,4,12,0.970537142,0,1,1,13
"E410_POOLRET73_S390_L003",410,1,6,1,0,1,3,4,15,0.955425941,3,1,4,19
"E411_POOLRET72_S300_L002",411,1,7,0,3,5,1,1,17,0.823815823,1,2,3,20
"E414_POOLRET72_S368_L002",414,1,8,0,6,2,3,4,23,0.939628016,0,1,1,24
"E415_POOLRET72_S354_L002",415,1,4,3,2,3,3,4,19,0.920984082,1,0,1,20
"E416_POOLRET73_S423_L003",416,1,6,0,0,1,2,1,10,0.934357391,0,0,0,10
"E417_POOLRET73_S445_L003",417,1,7,3,4,2,0,5,21,0.758117095,0,1,1,22
"E418_POOLRET73_S500_L003",418,1,5,3,0,5,2,7,22,0.93812175,0,0,0,22
"E419_POOLRET73_S523_L003",419,1,4,2,1,4,3,2,16,0.869721808,1,0,1,17
"E420_POOLRET72_S210_L002",420,1,8,1,2,3,2,8,24,0.946096002,6,0,6,30
"E421_POOLRET73_S567_L003",421,1,1,1,0,3,1,1,7,0.865003681,1,2,3,10
"E422_POOLRET73_S561_L003",422,1,3,3,2,4,3,3,18,0.915884208,3,2,5,23
"E424_POOLRET72_S370_L002",424,1,2,2,3,2,2,8,19,0.935878096,8,0,8,27
"E425_POOLRET73_S563_L003",425,1,7,3,0,2,0,7,19,0.95143863,4,1,5,24
"E426_POOLRET72_S234_L002",426,1,9,3,3,1,2,4,22,0.9463586,4,3,7,29
"E429_POOLRET73_S533_L003",429,1,8,0,4,3,3,3,21,0.944404735,1,1,2,23
"E430_POOLRET72_S380_L002",430,1,6,4,4,1,6,6,27,0.956092432,0,1,1,28
"E431_POOLRET73_S454_L003",431,1,2,0,2,2,3,2,11,0.957279073,4,4,8,19
"E432_POOLRET72_S367_L002",432,1,5,2,4,0,3,1,15,0.777747294,1,1,2,17
"E433_POOLRET72_S200_L002",433,1,4,1,1,2,3,4,15,0.823912845,1,1,2,17
"E434_POOLRET72_S202_L002",434,1,0,0,0,0,0,1,1,0.777353911,0,0,0,1
"E435_POOLRET72_S378_L002",435,1,7,0,2,0,0,4,13,0.730347657,1,0,1,14
"E436_POOLRET72_S320_L002",436,1,7,2,2,0,1,7,19,0.961339145,1,4,5,24
"E437_POOLRET72_S315_L002",437,1,7,2,8,4,2,6,29,0.934819258,3,2,5,34
"E438_POOLRET72_S246_L002",438,1,3,0,4,0,2,5,14,0.971760877,1,2,3,17
"E439_POOLRET73_S425_L003",439,1,9,0,3,4,2,1,19,0.904403779,3,0,3,22
"E440_POOLRET73_S385_L003",440,1,6,3,3,4,1,3,20,0.913801812,4,3,7,27
"E441_POOLRET72_S363_L002",441,1,6,1,3,4,1,1,16,0.934730742,3,2,5,21
"E442_POOLRET72_S350_L002",442,1,4,2,3,0,1,4,14,0.944196851,2,6,8,22
"E444_POOLRET73_S442_L003",444,1,3,0,4,4,5,6,22,0.947487975,2,0,2,24
"E445_POOLRET73_S401_L003",445,1,12,4,3,6,0,5,30,0.942753166,2,3,5,35
"E447_POOLRET73_S430_L003",447,1,4,1,2,7,4,5,23,0.932121754,5,4,9,32
"E448_POOLRET73_S543_L003",448,1,5,2,2,4,1,6,20,0.953910072,2,0,2,22
"E451_POOLRET72_S252_L002",451,1,5,5,2,3,2,1,18,0.809340969,3,0,3,21
"E456_POOLRET72_S356_L002",456,1,7,0,3,0,1,4,15,0.939455929,2,1,3,18
"E457_POOLRET73_S512_L003",457,1,5,2,2,5,1,5,20,0.873491651,1,0,1,21
"E465_POOLRET72_S366_L002",465,1,5,1,4,2,3,4,19,0.761553992,2,0,2,21
"E467_POOLRET72_S201_L002",467,1,6,1,2,3,2,4,18,0.84430228,2,1,3,21
"E468_POOLRET73_S562_L003",468,1,7,1,3,1,2,2,16,0.711131273,2,0,2,18
"E469_POOLRET72_S383_L002",469,1,2,0,1,2,1,4,10,0.594894426,0,1,1,11
"E470_POOLRET72_S323_L002",470,1,4,0,6,5,1,5,21,0.959252082,0,1,1,22
"E471_POOLRET73_S483_L003",471,1,6,0,2,3,2,6,19,0.88022047,0,2,2,21
"E473_POOLRET72_S263_L002",473,1,8,2,6,2,1,7,26,0.833646279,1,0,1,27
"E474_POOLRET72_S266_L002",474,1,11,2,3,3,4,3,26,0.957659075,2,1,3,29
"E475_POOLRET72_S196_L002",475,1,6,0,2,0,1,2,11,0.683698052,2,1,3,14
"E476_POOLRET72_S362_L002",476,1,6,1,2,3,1,7,20,0.960460003,4,2,6,26
"E481_POOLRET72_S296_L002",481,1,8,4,1,4,2,7,26,0.90270285,1,4,5,31
"E482_POOLRET73_S468_L003",482,1,8,0,1,1,3,6,19,0.952264994,1,1,2,21
"E483_POOLRET72_S381_L002",483,1,2,1,5,2,4,3,17,0.954836469,4,1,5,22
"E485_POOLRET72_S372_L002",485,1,7,1,6,1,1,1,17,0.821394677,2,0,2,19
"E486_POOLRET73_S531_L003",486,1,5,0,4,2,2,4,17,0.896482615,4,0,4,21
"E488_POOLRET72_S195_L002",488,1,8,0,3,4,1,3,19,0.943427584,1,0,1,20
"E489_POOLRET73_S488_L003",489,1,5,4,0,1,0,3,13,0.812021732,2,0,2,15
"E490_POOLRET72_S288_L002",490,1,7,8,0,2,3,6,26,0.896029862,3,1,4,30
"E491_POOLRET72_S214_L002",491,1,5,1,0,3,4,3,16,0.883829115,3,2,5,21
"E492_POOLRET73_S508_L003",492,1,7,0,4,2,2,3,18,0.861027409,3,1,4,22
"E493_POOLRET72_S227_L002",493,1,3,1,2,4,1,4,15,0.972312986,5,4,9,24
"E495_POOLRET72_S211_L002",495,1,5,1,3,1,1,11,22,0.92042989,3,1,4,26
"E496_POOLRET73_S535_L003",496,1,8,3,3,1,1,2,18,0.708326635,1,0,1,19
"E497_POOLRET73_S392_L003",497,1,3,3,1,0,2,3,12,0.941820716,1,0,1,13
"E499_POOLRET72_S231_L002",499,1,6,2,6,6,1,3,24,0.815676823,3,0,3,27
"H7GWFDSX7_E405_POOLRET74",405,1,4,1,2,6,1,10,24,0.975882094,6,1,7,31
"H7GWFDSX7_E412_POOLRET74",412,1,3,2,2,2,2,7,18,0.945762437,2,1,3,21
"H7GWFDSX7_E413_POOLRET74",413,1,6,2,3,4,0,1,16,0.9053391,5,0,5,21
"H7GWFDSX7_E423_POOLRET74",423,1,2,2,3,2,2,8,19,0.958716317,1,3,4,23
"H7GWFDSX7_E427_POOLRET74",427,1,8,1,2,0,3,6,20,0.912185432,0,0,0,20
"H7GWFDSX7_E428_POOLRET74",428,1,6,2,2,2,1,4,17,0.976327498,1,1,2,19
"H7GWFDSX7_E443_POOLRET74",443,1,14,2,3,1,2,4,26,0.976935547,6,1,7,33
"H7GWFDSX7_E446_POOLRET74",446,1,0,0,0,0,0,1,1,0.976929045,0,0,0,1
"H7GWFDSX7_E449_POOLRET74",449,1,4,1,5,5,2,2,19,0.809494101,1,1,2,21
"H7GWFDSX7_E450_POOLRET74",450,1,6,1,1,4,7,2,21,0.974346263,4,1,5,26
"H7GWFDSX7_E452_POOLRET74",452,1,4,1,2,2,1,2,12,0.903529173,2,1,3,15
"H7GWFDSX7_E453_POOLRET74",453,1,7,0,4,6,1,9,27,0.909042972,4,1,5,32
"H7GWFDSX7_E454_POOLRET74",454,1,4,2,4,3,2,2,17,0.825638363,3,1,4,21
"H7GWFDSX7_E455_POOLRET74",455,1,6,3,3,3,2,5,22,0.932200219,1,0,1,23
"H7GWFDSX7_E458_POOLRET74",458,1,5,1,0,0,0,3,9,0.568417187,5,0,5,14
"H7GWFDSX7_E459_POOLRET74",459,1,10,1,2,3,6,4,26,0.952239457,1,1,2,28
"H7GWFDSX7_E460_POOLRET74",460,1,6,1,6,1,1,8,23,0.976029372,2,2,4,27
"H7GWFDSX7_E461_POOLRET74",461,1,12,1,7,2,6,3,31,0.953559715,5,2,7,38
"H7GWFDSX7_E462_POOLRET74",462,1,6,1,2,2,2,5,18,0.919012479,1,1,2,20
"H7GWFDSX7_E463_POOLRET74",463,1,8,1,4,2,3,6,24,0.976506675,2,2,4,28
"H7GWFDSX7_E464_POOLRET74",464,1,8,2,8,5,1,3,27,0.952224908,6,3,9,36
"H7GWFDSX7_E466_POOLRET74",466,1,10,1,0,1,5,4,21,0.867845073,2,0,2,23
"H7GWFDSX7_E472_POOLRET74",472,1,8,2,2,4,2,4,22,0.973469005,0,0,0,22
"H7GWFDSX7_E477_POOLRET74",477,1,5,3,4,0,4,4,20,0.953206427,7,1,8,28
"H7GWFDSX7_E478_POOLRET74",478,1,8,0,2,1,0,1,12,0.972835898,3,0,3,15
"H7GWFDSX7_E479_POOLRET74",479,1,3,5,4,2,0,3,17,0.937390255,3,3,6,23
"H7GWFDSX7_E480_POOLRET74",480,1,7,0,2,6,1,3,19,0.882051595,2,0,2,21
"H7GWFDSX7_E484_POOLRET74",484,1,5,1,3,2,0,1,12,0.951846582,4,0,4,16
"H7GWFDSX7_E487_POOLRET74",487,1,5,3,2,1,1,3,15,0.852438727,2,1,3,18
"H7GWFDSX7_E494_POOLRET74",494,1,7,0,0,1,3,3,14,0.972975279,3,1,4,18
"H7GWFDSX7_E498_POOLRET74",498,1,10,1,3,3,0,5,22,0.933806728,3,1,4,26
"G201_POOLRET73_S509_L003",401,1,3,0,0,1,0,7,11,0.749102134,3,1,4,15
"G202_POOLRET73_S446_L003",402,2,3,0,2,4,0,7,16,0.906996014,2,0,2,18
"G203_POOLRET72_S273_L002",403,2,4,0,3,5,4,2,18,0.828891157,6,0,6,24
"G204_POOLRET73_S504_L003",404,2,7,0,0,2,1,2,12,0.90378869,1,2,3,15
"G206_POOLRET73_S465_L003",406,2,9,0,2,2,0,2,15,0.929086268,4,0,4,19
"G209_POOLRET72_S352_L002",409,2,0,0,0,0,0,0,0,92,0,0,0,0
"G210_POOLRET73_S494_L003",410,2,6,1,0,1,3,4,15,0.955425941,3,1,4,19
"G211_POOLRET73_S395_L003",411,2,7,0,3,5,1,1,17,0.823815823,1,2,3,20
"G212_POOLRET73_S396_L003",412,2,3,2,2,2,2,7,18,0.945762437,2,1,3,21
"G213_POOLRET72_S193_L002",413,2,6,2,3,4,0,1,16,0.9053391,5,0,5,21
"G214_POOLRET72_S332_L002",414,2,8,0,6,2,3,4,23,0.939628016,0,1,1,24
"G215_POOLRET72_S264_L002",415,2,4,3,2,3,3,4,19,0.920984082,1,0,1,20
"G216_POOLRET73_S502_L003",416,2,6,0,0,1,2,1,10,0.934357391,0,0,0,10
"G217_POOLRET73_S397_L003",417,2,7,3,4,2,0,5,21,0.758117095,0,1,1,22
"G218_POOLRET73_S521_L003",418,2,5,3,0,5,2,7,22,0.93812175,0,0,0,22
"G219_POOLRET73_S574_L003",419,2,4,2,1,4,3,2,16,0.869721808,1,0,1,17
"G221_POOLRET72_S308_L002",421,2,1,1,0,3,1,1,7,0.865003681,1,2,3,10
"G222_POOLRET72_S297_L002",422,2,3,3,2,4,3,3,18,0.915884208,3,2,5,23
"G223_POOLRET73_S451_L003",423,2,3,2,3,2,2,8,20,0.958716317,1,3,4,24
"G224_POOLRET73_S441_L003",424,2,2,2,3,2,2,7,18,0.935878096,8,0,8,26
"G226_POOLRET72_S258_L002",426,2,9,3,3,1,2,4,22,0.9463586,4,3,7,29
"G227_POOLRET72_S377_L002",427,2,8,1,2,0,3,7,21,0.912185432,0,0,0,21
"G229_POOLRET73_S539_L003",429,2,8,0,4,3,3,3,21,0.944404735,1,1,2,23
"G230_POOLRET73_S458_L003",430,2,6,4,4,1,6,6,27,0.956092432,0,1,1,28
"G231_POOLRET73_S457_L003",431,2,2,0,2,2,3,1,10,0.957279073,4,4,8,18
"G232_POOLRET73_S558_L003",432,2,5,2,4,0,3,1,15,0.777747294,1,1,2,17
"G233_POOLRET72_S242_L002",433,2,4,1,1,2,3,4,15,0.823912845,1,1,2,17
"G234_POOLRET72_S215_L002",434,2,0,0,0,0,0,0,0,0.777353911,0,0,0,0
"G235_POOLRET73_S570_L003",435,2,7,0,2,0,0,4,13,0.730347657,1,0,1,14
"G237_POOLRET72_S307_L002",437,2,7,2,8,4,2,6,29,0.934819258,3,2,5,34
"G239_POOLRET73_S444_L003",439,2,9,0,3,4,2,1,19,0.904403779,3,0,3,22
"G241_POOLRET73_S452_L003",441,2,6,1,3,4,1,1,16,0.934730742,3,2,5,21
"G242_POOLRET72_S286_L002",442,2,4,2,3,0,1,4,14,0.944196851,2,6,8,22
"G244_POOLRET73_S408_L003",444,2,3,0,4,4,5,6,22,0.947487975,2,0,2,24
"G245_POOLRET73_S519_L003",445,2,12,4,3,6,0,5,30,0.942753166,2,3,5,35
"G247_POOLRET73_S530_L003",447,2,4,1,2,7,4,5,23,0.932121754,5,4,9,32
"G248_POOLRET73_S387_L003",448,2,5,2,2,4,1,6,20,0.953910072,2,0,2,22
"G249_POOLRET72_S198_L002",449,2,4,1,5,5,2,2,19,0.809494101,1,1,2,21
"G252_POOLRET73_S481_L003",452,2,4,1,2,2,1,2,12,0.903529173,2,1,3,15
"G253_POOLRET73_S431_L003",453,2,7,0,4,6,1,9,27,0.909042972,4,1,5,32
"G254_POOLRET73_S447_L003",454,2,4,2,4,3,2,2,17,0.825638363,3,1,4,21
"G255_POOLRET72_S237_L002",455,2,6,3,3,3,2,5,22,0.932200219,1,0,1,23
"G257_POOLRET73_S540_L003",457,2,5,2,2,5,1,6,21,0.873491651,1,0,1,22
"G258_POOLRET73_S473_L003",458,2,5,1,0,0,0,3,9,0.568417187,5,0,5,14
"G259_POOLRET73_S428_L003",459,2,10,1,2,3,6,4,26,0.952239457,1,1,2,28
"G261_POOLRET72_S254_L002",461,2,12,1,7,2,6,3,31,0.953559715,5,2,7,38
"G262_POOLRET73_S394_L003",462,2,6,1,2,2,2,5,18,0.919012479,1,1,2,20
"G264_POOLRET73_S470_L003",464,2,8,2,8,5,1,3,27,0.952224908,6,3,9,36
"G265_POOLRET72_S298_L002",465,2,5,1,4,2,3,4,19,0.761553992,2,0,2,21
"G266_POOLRET73_S407_L003",466,2,10,1,0,1,5,4,21,0.867845073,2,0,2,23
"G268_POOLRET72_S342_L002",468,2,7,1,3,1,2,2,16,0.711131273,2,0,2,18
"G269_POOLRET73_S573_L003",469,2,2,0,1,2,1,4,10,0.594894426,0,1,1,11
"G270_POOLRET72_S345_L002",470,2,4,0,6,5,1,5,21,0.959252082,0,1,1,22
"G271_POOLRET73_S413_L003",471,2,6,0,2,3,2,5,18,0.88022047,0,2,2,20
"G273_POOLRET73_S525_L003",473,2,8,2,6,2,1,7,26,0.833646279,1,0,1,27
"G274_POOLRET72_S271_L002",474,2,11,2,3,3,4,3,26,0.957659075,2,1,3,29
"G277_POOLRET72_S364_L002",477,2,5,3,4,0,4,4,20,0.953206427,7,1,8,28
"G279_POOLRET72_S305_L002",479,2,3,5,4,2,0,3,17,0.937390255,3,3,6,23
"G280_POOLRET73_S487_L003",480,2,7,0,2,6,1,3,19,0.882051595,2,0,2,21
"G281_POOLRET73_S422_L003",481,2,8,4,1,4,2,7,26,0.90270285,1,4,5,31
"G282_POOLRET72_S248_L002",482,2,8,0,1,1,3,6,19,0.952264994,1,1,2,21
"G283_POOLRET73_S427_L003",483,2,2,1,5,2,4,3,17,0.954836469,4,1,5,22
"G284_POOLRET73_S463_L003",484,2,5,1,3,2,0,1,12,0.951846582,4,0,4,16
"G285_POOLRET72_S325_L002",485,2,7,1,6,1,1,1,17,0.821394677,2,0,2,19
"G286_POOLRET73_S548_L003",486,2,5,0,4,2,2,5,18,0.896482615,4,0,4,22
