"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",400,1,0,0,0,1,3,2,6,0.977850776,3,0,3,9
"E401_POOLRET73_S389_L003",401,1,0,0,0,0,0,7,7,0.963420404,2,1,3,10
"E402_POOLRET72_S359_L002",402,1,0,0,0,0,0,2,2,0.973925916,2,1,3,5
"E403_POOLRET73_S421_L003",403,1,0,0,1,1,1,3,6,0.967777904,1,0,1,7
"E404_POOLRET72_S280_L002",404,1,1,0,0,1,1,2,5,0.972804508,1,0,1,6
"E406_POOLRET73_S403_L003",406,1,1,0,0,0,0,2,3,0.974240914,1,0,1,4
"E407_POOLRET73_S467_L003",407,1,0,0,0,1,0,6,7,0.97472089,1,1,2,9
"E408_POOLRET72_S251_L002",408,1,0,0,0,0,0,5,5,0.97808683,0,1,1,6
"E410_POOLRET73_S390_L003",410,1,0,0,0,0,0,3,3,0.976774568,2,1,3,6
"E411_POOLRET72_S300_L002",411,1,1,0,1,1,0,0,3,0.966869516,0,0,0,3
"E414_POOLRET72_S368_L002",414,1,1,0,0,0,0,5,6,0.974958898,0,2,2,8
"E415_POOLRET72_S354_L002",415,1,0,0,0,0,0,3,3,0.973252884,1,0,1,4
"E416_POOLRET73_S423_L003",416,1,2,1,0,0,0,4,7,0.975159314,0,0,0,7
"E417_POOLRET73_S445_L003",417,1,0,0,0,0,0,3,3,0.96275148,0,0,0,3
"E418_POOLRET73_S500_L003",418,1,0,0,0,1,1,9,11,0.9751713,1,1,2,13
"E419_POOLRET73_S523_L003",419,1,0,0,0,0,0,5,5,0.971488717,0,0,0,5
"E420_POOLRET72_S210_L002",420,1,0,0,1,0,0,5,6,0.9758207,4,1,5,11
"E421_POOLRET73_S567_L003",421,1,0,0,0,1,0,3,4,0.969476918,0,1,1,5
"E422_POOLRET73_S561_L003",422,1,0,0,0,0,0,6,6,0.973466492,1,2,3,9
"E424_POOLRET72_S370_L002",424,1,0,1,0,1,0,4,6,0.974935914,4,1,5,11
"E425_POOLRET73_S563_L003",425,1,0,0,0,0,1,5,6,0.97716146,2,0,2,8
"E426_POOLRET72_S234_L002",426,1,0,0,0,0,0,6,6,0.975244979,1,1,2,8
"E429_POOLRET73_S533_L003",429,1,0,0,0,0,1,4,5,0.975516601,2,0,2,7
"E430_POOLRET72_S380_L002",430,1,1,0,0,0,0,4,5,0.976039463,0,1,1,6
"E431_POOLRET73_S454_L003",431,1,0,0,0,0,2,1,3,0.976791001,2,2,4,7
"E432_POOLRET72_S367_L002",432,1,1,0,0,0,0,3,4,0.964160355,2,1,3,7
"E433_POOLRET72_S200_L002",433,1,0,0,0,0,1,5,6,0.967951816,1,1,2,8
"E434_POOLRET72_S202_L002",434,1,0,0,0,0,0,0,0,0.966688106,0,0,0,0
"E435_POOLRET72_S378_L002",435,1,1,0,1,1,0,2,5,0.956196474,0,1,1,6
"E436_POOLRET72_S320_L002",436,1,0,0,0,1,1,5,7,0.97690317,1,2,3,10
"E437_POOLRET72_S315_L002",437,1,0,0,0,1,2,3,6,0.975022635,2,1,3,9
"E438_POOLRET72_S246_L002",438,1,1,0,1,0,1,4,7,0.978818903,1,0,1,8
"E439_POOLRET73_S425_L003",439,1,1,0,0,1,1,2,5,0.972085557,1,0,1,6
"E440_POOLRET73_S385_L003",440,1,1,1,0,1,0,2,5,0.974696569,4,1,5,10
"E441_POOLRET72_S363_L002",441,1,0,0,0,0,1,2,3,0.975011936,3,1,4,7
"E442_POOLRET72_S350_L002",442,1,0,0,0,0,0,3,3,0.975687132,2,0,2,5
"E444_POOLRET73_S442_L003",444,1,1,0,0,1,0,4,6,0.975686903,0,0,0,6
"E445_POOLRET73_S401_L003",445,1,0,0,0,1,0,5,6,0.975292752,1,1,2,8
"E447_POOLRET73_S430_L003",447,1,0,0,0,1,0,6,7,0.974693747,1,2,3,10
"E448_POOLRET73_S543_L003",448,1,1,0,0,0,2,8,11,0.97635832,1,0,1,12
"E451_POOLRET72_S252_L002",451,1,0,0,0,1,0,3,4,0.966519538,2,0,2,6
"E456_POOLRET72_S356_L002",456,1,1,0,0,0,1,6,8,0.975407922,0,2,2,10
"E457_POOLRET73_S512_L003",457,1,2,0,1,0,0,1,4,0.971795209,3,0,3,7
"E465_POOLRET72_S366_L002",465,1,1,0,0,0,0,4,5,0.955193945,1,1,2,7
"E467_POOLRET72_S201_L002",467,1,0,0,0,1,0,2,3,0.971931618,2,1,3,6
"E468_POOLRET73_S562_L003",468,1,1,0,0,0,0,6,7,0.955343636,0,0,0,7
"E469_POOLRET72_S383_L002",469,1,0,0,0,1,1,2,4,0.948536721,1,0,1,5
"E470_POOLRET72_S323_L002",470,1,1,1,0,2,0,5,9,0.977295546,0,1,1,10
"E471_POOLRET73_S483_L003",471,1,0,0,0,0,2,2,4,0.971039224,0,1,1,5
"E473_POOLRET72_S263_L002",473,1,0,0,1,2,0,4,7,0.96986743,1,0,1,8
"E474_POOLRET72_S266_L002",474,1,2,0,0,0,3,4,9,0.976553671,0,0,0,9
"E475_POOLRET72_S196_L002",475,1,0,0,2,0,0,7,9,0.950087998,1,2,3,12
"E476_POOLRET72_S362_L002",476,1,1,1,0,0,0,4,6,0.977634106,2,1,3,9
"E481_POOLRET72_S296_L002",481,1,0,0,0,0,0,5,5,0.97199735,1,0,1,6
"E482_POOLRET73_S468_L003",482,1,1,0,0,0,1,7,9,0.97593224,1,1,2,11
"E483_POOLRET72_S381_L002",483,1,0,0,2,1,2,2,7,0.976446557,1,2,3,10
"E485_POOLRET72_S372_L002",485,1,1,0,0,0,1,2,4,0.967223512,3,0,3,7
"E486_POOLRET73_S531_L003",486,1,0,1,2,0,1,4,8,0.973087538,2,0,2,10
"E488_POOLRET72_S195_L002",488,1,2,0,1,0,1,5,9,0.97518507,1,1,2,11
"E489_POOLRET73_S488_L003",489,1,0,0,0,0,1,4,5,0.966218231,0,1,1,6
"E490_POOLRET72_S288_L002",490,1,0,1,0,0,1,3,5,0.972880002,2,0,2,7
"E491_POOLRET72_S214_L002",491,1,0,0,0,1,1,4,6,0.971217414,4,0,4,10
"E492_POOLRET73_S508_L003",492,1,1,0,0,0,0,3,4,0.971187749,1,1,2,6
"E493_POOLRET72_S227_L002",493,1,1,0,1,0,0,7,9,0.97861736,2,0,2,11
"E495_POOLRET72_S211_L002",495,1,0,0,0,0,0,7,7,0.973704082,2,0,2,9
"E496_POOLRET73_S535_L003",496,1,1,0,0,1,0,2,4,0.95718581,1,1,2,6
"E497_POOLRET73_S392_L003",497,1,1,0,0,0,0,4,5,0.975721414,2,0,2,7
"E499_POOLRET72_S231_L002",499,1,0,0,0,1,0,3,4,0.966589279,1,0,1,5
"H7GWFDSX7_E405_POOLRET74",405,1,0,0,1,1,0,7,9,0.980276399,0,2,2,11
"H7GWFDSX7_E412_POOLRET74",412,1,0,1,1,0,1,7,10,0.976032822,0,1,1,11
"H7GWFDSX7_E413_POOLRET74",413,1,0,0,1,2,0,3,6,0.974966426,3,0,3,9
"H7GWFDSX7_E423_POOLRET74",423,1,0,0,0,0,1,6,7,0.977437689,0,2,2,9
"H7GWFDSX7_E427_POOLRET74",427,1,0,0,0,0,0,7,7,0.974425565,0,0,0,7
"H7GWFDSX7_E428_POOLRET74",428,1,0,1,0,0,0,3,4,0.980204814,0,0,0,4
"H7GWFDSX7_E443_POOLRET74",443,1,0,0,0,1,1,5,7,0.980491702,1,0,1,8
"H7GWFDSX7_E446_POOLRET74",446,1,0,0,0,0,0,1,1,0.98045759,0,0,0,1
"H7GWFDSX7_E449_POOLRET74",449,1,1,1,0,1,1,6,10,0.965858432,1,0,1,11
"H7GWFDSX7_E450_POOLRET74",450,1,1,0,1,1,0,4,7,0.979434021,2,0,2,9
"H7GWFDSX7_E452_POOLRET74",452,1,0,0,1,1,0,3,5,0.973632168,1,0,1,6
"H7GWFDSX7_E453_POOLRET74",453,1,0,1,1,1,0,2,5,0.973158385,1,1,2,7
"H7GWFDSX7_E454_POOLRET74",454,1,0,0,1,0,0,4,5,0.966699613,2,1,3,8
"H7GWFDSX7_E455_POOLRET74",455,1,1,0,0,0,0,3,4,0.975124883,2,0,2,6
"H7GWFDSX7_E458_POOLRET74",458,1,1,0,0,0,0,4,5,0.943608197,2,0,2,7
"H7GWFDSX7_E459_POOLRET74",459,1,0,0,0,0,2,1,3,0.976615852,0,0,0,3
"H7GWFDSX7_E460_POOLRET74",460,1,2,0,2,1,1,7,13,0.980036855,1,0,1,14
"H7GWFDSX7_E461_POOLRET74",461,1,2,0,1,0,0,2,5,0.977258412,1,1,2,7
"H7GWFDSX7_E462_POOLRET74",462,1,0,0,0,0,0,2,2,0.974310495,0,2,2,4
"H7GWFDSX7_E463_POOLRET74",463,1,0,0,0,1,0,6,7,0.980336865,0,1,1,8
"H7GWFDSX7_E464_POOLRET74",464,1,1,0,1,1,0,4,7,0.977576172,4,1,5,12
"H7GWFDSX7_E466_POOLRET74",466,1,0,0,0,0,1,4,5,0.971299887,0,0,0,5
"H7GWFDSX7_E472_POOLRET74",472,1,0,0,0,1,0,4,5,0.979084841,0,0,0,5
"H7GWFDSX7_E477_POOLRET74",477,1,0,0,0,0,1,3,4,0.976434153,2,1,3,7
"H7GWFDSX7_E478_POOLRET74",478,1,1,0,0,0,0,2,3,0.978988238,1,0,1,4
"H7GWFDSX7_E479_POOLRET74",479,1,1,0,0,0,0,1,2,0.975571005,2,1,3,5
"H7GWFDSX7_E480_POOLRET74",480,1,1,0,0,1,1,7,10,0.971517564,0,0,0,10
"H7GWFDSX7_E484_POOLRET74",484,1,0,0,0,0,0,0,0,0.977079694,1,0,1,1
"H7GWFDSX7_E487_POOLRET74",487,1,1,0,0,2,1,5,9,0.971705157,2,1,3,12
"H7GWFDSX7_E494_POOLRET74",494,1,1,0,0,0,0,2,3,0.979139206,2,1,3,6
"H7GWFDSX7_E498_POOLRET74",498,1,0,0,0,0,0,6,6,0.975487614,2,0,2,8
"G201_POOLRET73_S509_L003",401,1,0,0,0,0,0,7,7,0.963420404,2,1,3,10
"G202_POOLRET73_S446_L003",402,2,0,0,0,0,0,3,3,0.973925916,2,1,3,6
"G203_POOLRET72_S273_L002",403,2,0,0,1,1,1,3,6,0.967777904,1,0,1,7
"G204_POOLRET73_S504_L003",404,2,1,0,0,1,1,2,5,0.972804508,1,0,1,6
"G206_POOLRET73_S465_L003",406,2,1,0,0,0,0,2,3,0.974240914,1,0,1,4
"G209_POOLRET72_S352_L002",409,2,0,0,0,0,0,0,0,97,0,0,0,0
"G210_POOLRET73_S494_L003",410,2,0,0,0,0,0,3,3,0.976774568,2,1,3,6
"G211_POOLRET73_S395_L003",411,2,1,0,1,1,0,0,3,0.966869516,0,0,0,3
"G212_POOLRET73_S396_L003",412,2,0,1,1,0,1,7,10,0.976032822,0,1,1,11
"G213_POOLRET72_S193_L002",413,2,0,0,1,2,0,3,6,0.974966426,3,0,3,9
"G214_POOLRET72_S332_L002",414,2,1,0,0,0,0,5,6,0.974958898,0,2,2,8
"G215_POOLRET72_S264_L002",415,2,0,0,0,0,0,3,3,0.973252884,1,0,1,4
"G216_POOLRET73_S502_L003",416,2,2,1,0,0,0,4,7,0.975159314,0,0,0,7
"G217_POOLRET73_S397_L003",417,2,0,0,0,0,0,3,3,0.96275148,0,0,0,3
"G218_POOLRET73_S521_L003",418,2,0,0,0,1,1,9,11,0.9751713,1,1,2,13
"G219_POOLRET73_S574_L003",419,2,0,0,0,0,0,5,5,0.971488717,0,0,0,5
"G221_POOLRET72_S308_L002",421,2,0,0,0,1,0,3,4,0.969476918,0,1,1,5
"G222_POOLRET72_S297_L002",422,2,0,0,0,0,0,5,5,0.973466492,1,2,3,8
"G223_POOLRET73_S451_L003",423,2,0,0,0,0,1,6,7,0.977437689,0,2,2,9
"G224_POOLRET73_S441_L003",424,2,0,1,0,1,0,3,5,0.974935914,4,1,5,10
"G226_POOLRET72_S258_L002",426,2,0,0,0,0,0,6,6,0.975244979,1,1,2,8
"G227_POOLRET72_S377_L002",427,2,0,0,0,0,0,7,7,0.974425565,0,0,0,7
"G229_POOLRET73_S539_L003",429,2,0,0,0,0,1,4,5,0.975516601,2,0,2,7
"G230_POOLRET73_S458_L003",430,2,1,0,0,0,0,4,5,0.976039463,0,1,1,6
"G231_POOLRET73_S457_L003",431,2,0,0,0,0,2,1,3,0.976791001,2,2,4,7
"G232_POOLRET73_S558_L003",432,2,1,0,0,0,0,3,4,0.964160355,2,1,3,7
"G233_POOLRET72_S242_L002",433,2,0,0,0,0,1,5,6,0.967951816,1,1,2,8
"G234_POOLRET72_S215_L002",434,2,0,0,0,0,0,0,0,0.966688106,0,0,0,0
"G235_POOLRET73_S570_L003",435,2,1,0,1,1,0,2,5,0.956196474,0,1,1,6
"G237_POOLRET72_S307_L002",437,2,0,0,0,1,2,3,6,0.975022635,2,1,3,9
"G239_POOLRET73_S444_L003",439,2,1,0,0,1,1,2,5,0.972085557,1,0,1,6
"G241_POOLRET73_S452_L003",441,2,0,0,0,0,1,2,3,0.975011936,3,1,4,7
"G242_POOLRET72_S286_L002",442,2,0,0,0,0,0,3,3,0.975687132,2,0,2,5
"G244_POOLRET73_S408_L003",444,2,1,0,0,1,0,4,6,0.975686903,0,0,0,6
"G245_POOLRET73_S519_L003",445,2,0,0,0,1,0,5,6,0.975292752,1,1,2,8
"G247_POOLRET73_S530_L003",447,2,0,0,0,1,0,6,7,0.974693747,1,2,3,10
"G248_POOLRET73_S387_L003",448,2,1,0,0,0,2,8,11,0.97635832,1,0,1,12
"G249_POOLRET72_S198_L002",449,2,1,1,0,1,1,6,10,0.965858432,1,0,1,11
"G252_POOLRET73_S481_L003",452,2,0,0,1,1,0,3,5,0.973632168,1,0,1,6
"G253_POOLRET73_S431_L003",453,2,0,1,1,1,0,2,5,0.973158385,1,1,2,7
"G254_POOLRET73_S447_L003",454,2,0,0,1,0,0,4,5,0.966699613,2,1,3,8
"G255_POOLRET72_S237_L002",455,2,1,0,0,0,0,3,4,0.975124883,2,0,2,6
"G257_POOLRET73_S540_L003",457,2,2,0,1,0,0,2,5,0.971795209,3,0,3,8
"G258_POOLRET73_S473_L003",458,2,1,0,0,0,0,4,5,0.943608197,2,0,2,7
"G259_POOLRET73_S428_L003",459,2,0,0,0,0,2,1,3,0.976615852,0,0,0,3
"G261_POOLRET72_S254_L002",461,2,2,0,1,0,0,2,5,0.977258412,1,1,2,7
"G262_POOLRET73_S394_L003",462,2,0,0,0,0,0,2,2,0.974310495,0,2,2,4
"G264_POOLRET73_S470_L003",464,2,1,0,1,1,0,4,7,0.977576172,4,1,5,12
"G265_POOLRET72_S298_L002",465,2,1,0,0,0,0,4,5,0.955193945,1,1,2,7
"G266_POOLRET73_S407_L003",466,2,0,0,0,0,1,4,5,0.971299887,0,0,0,5
"G268_POOLRET72_S342_L002",468,2,1,0,0,0,0,6,7,0.955343636,0,0,0,7
"G269_POOLRET73_S573_L003",469,2,0,0,0,1,1,2,4,0.948536721,1,0,1,5
"G270_POOLRET72_S345_L002",470,2,1,1,0,2,0,5,9,0.977295546,0,1,1,10
"G271_POOLRET73_S413_L003",471,2,0,0,0,0,2,1,3,0.971039224,0,1,1,4
"G273_POOLRET73_S525_L003",473,2,0,0,1,2,0,3,6,0.96986743,1,0,1,7
"G274_POOLRET72_S271_L002",474,2,2,0,0,0,3,4,9,0.976553671,0,0,0,9
"G277_POOLRET72_S364_L002",477,2,0,0,0,0,1,4,5,0.976434153,2,1,3,8
"G279_POOLRET72_S305_L002",479,2,1,0,0,0,0,1,2,0.975571005,2,1,3,5
"G280_POOLRET73_S487_L003",480,2,1,0,0,1,1,7,10,0.971517564,0,0,0,10
"G281_POOLRET73_S422_L003",481,2,0,0,0,0,0,5,5,0.97199735,1,0,1,6
"G282_POOLRET72_S248_L002",482,2,1,0,0,0,1,7,9,0.97593224,1,1,2,11
"G283_POOLRET73_S427_L003",483,2,0,0,2,1,2,2,7,0.976446557,1,2,3,10
"G284_POOLRET73_S463_L003",484,2,0,0,0,0,0,0,0,0.977079694,1,0,1,1
"G285_POOLRET72_S325_L002",485,2,1,0,0,0,1,2,4,0.967223512,3,0,3,7
"G286_POOLRET73_S548_L003",486,2,0,1,2,0,1,5,9,0.973087538,2,0,2,11
"G287_POOLRET73_S549_L003",487,2,1,0,0,2,1,5,9,0.971705157,2,1,3,12
"G289_POOLRET73_S537_L003",489,2,0,0,0,0,1,4,5,0.966218231,0,1,1,6
"G290_POOLRET73_S426_L003",490,2,0,1,0,0,1,3,5,0.972880002,2,0,2,7
"G295_POOLRET73_S434_L003",495,2,0,0,0,0,0,7,7,0.973704082,2,0,2,9
"G296_POOLRET73_S386_L003",496,2,1,0,0,1,0,2,4,0.95718581,1,1,2,6
"G297_POOLRET72_S331_L002",497,2,1,0,0,0,0,4,5,0.975721414,2,0,2,7
"G298_POOLRET72_S306_L002",498,2,0,0,0,0,0,5,5,0.975487614,2,0,2,7
"G299_POOLRET72_S349_L002",499,2,0,0,0,1,0,3,4,0.966589279,1,0,1,5
"H7GWFDSX7_G200_POOLRET74",400,2,0,0,0,1,3,2,6,0.977850776,3,0,3,9
"H7GWFDSX7_G205_POOLRET74",405,2,0,0,1,1,0,7,9,0.980276399,0,2,2,11
"H7GWFDSX7_G207_POOLRET74",407,2,0,0,0,1,0,6,7,0.97472089,1,1,2,9
"H7GWFDSX7_G208_POOLRET74",408,2,0,0,0,0,0,5,5,0.97808683,0,1,1,6
"H7GWFDSX7_G220_POOLRET74",420,2,0,0,1,0,0,6,7,0.9758207,4,1,5,12
"H7GWFDSX7_G225_POOLRET74",425,2,0,0,0,0,1,5,6,0.97716146,2,0,2,8
"H7GWFDSX7_G228_POOLRET74",428,2,0,1,0,0,0,4,5,0.980204814,0,0,0,5
"H7GWFDSX7_G236_POOLRET74",436,2,0,0,0,1,1,5,7,0.97690317,1,2,3,10
"H7GWFDSX7_G238_POOLRET74",438,2,1,0,1,0,1,6,9,0.978818903,1,0,1,10
"H7GWFDSX7_G240_POOLRET74",440,2,1,1,0,1,0,1,4,0.974696569,4,1,5,9
"H7GWFDSX7_G243_POOLRET74",443,2,0,0,0,1,1,4,6,0.980491702,1,0,1,7
"H7GWFDSX7_G246_POOLRET74",446,2,0,0,0,0,0,0,0,0.98045759,0,0,0,0
"H7GWFDSX7_G250_POOLRET74",450,2,1,0,1,1,0,4,7,0.979434021,2,0,2,9
"H7GWFDSX7_G251_POOLRET74",451,2,0,0,0,1,0,3,4,0.966519538,2,0,2,6
"H7GWFDSX7_G256_POOLRET74",456,2,1,0,0,0,1,6,8,0.975407922,0,2,2,10
"H7GWFDSX7_G260_POOLRET74",460,2,2,0,2,1,1,7,13,0.980036855,1,0,1,14
"H7GWFDSX7_G263_POOLRET74",463,2,0,0,0,1,0,6,7,0.980336865,0,1,1,8
"H7GWFDSX7_G267_POOLRET74",467,2,0,0,0,1,0,2,3,0.971931618,2,1,3,6
"H7GWFDSX7_G272_POOLRET74",472,2,0,0,0,1,0,4,5,0.979084841,0,0,0,5
"H7GWFDSX7_G275_POOLRET74",475,2,0,0,2,0,0,6,8,0.950087998,1,2,3,11
"H7GWFDSX7_G276_POOLRET74",476,2,1,1,0,0,0,4,6,0.977634106,2,1,3,9
"H7GWFDSX7_G278_POOLRET74",478,2,1,0,0,0,0,2,3,0.978988238,1,0,1,4
"H7GWFDSX7_G288_POOLRET74",488,2,2,0,1,0,1,5,9,0.97518507,1,1,2,11
"H7GWFDSX7_G291_POOLRET74",491,2,0,0,0,1,1,5,7,0.971217414,4,0,4,11
"H7GWFDSX7_G292_POOLRET74",492,2,1,0,0,0,0,3,4,0.971187749,1,1,2,6
"H7GWFDSX7_G293_POOLRET74",493,2,1,0,1,0,0,7,9,0.97861736,2,0,2,11
"H7GWFDSX7_G294_POOLRET74",494,2,1,0,0,0,0,2,3,0.979139206,2,1,3,6
