"Sample","Line","Replicate","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",400,1,4,3,4,5,3,2,21,0.977850776,4,0,4,25
"E401_POOLRET73_S389_L003",401,1,8,1,1,1,1,7,19,0.963420404,3,0,3,22
"E402_POOLRET72_S359_L002",402,1,5,0,3,5,0,5,18,0.973925916,0,0,0,18
"E403_POOLRET73_S421_L003",403,1,5,1,2,6,6,1,21,0.967777904,7,4,11,32
"E404_POOLRET72_S280_L002",404,1,8,0,1,1,0,2,12,0.972804508,1,2,3,15
"E406_POOLRET73_S403_L003",406,1,9,1,2,2,0,3,17,0.974240914,4,0,4,21
"E407_POOLRET73_S467_L003",407,1,8,4,6,3,2,4,27,0.97472089,0,1,1,28
"E408_POOLRET72_S251_L002",408,1,5,0,2,2,1,1,11,0.97808683,0,1,1,12
"E410_POOLRET73_S390_L003",410,1,8,3,0,1,3,2,17,0.976774568,4,1,5,22
"E411_POOLRET72_S300_L002",411,1,8,0,2,4,1,2,17,0.966869516,1,2,3,20
"E414_POOLRET72_S368_L002",414,1,11,0,6,2,3,3,25,0.974958898,0,1,1,26
"E415_POOLRET72_S354_L002",415,1,4,3,4,3,3,4,21,0.973252884,2,0,2,23
"E416_POOLRET73_S423_L003",416,1,6,0,0,1,2,1,10,0.975159314,0,0,0,10
"E417_POOLRET73_S445_L003",417,1,13,3,4,3,0,3,26,0.96275148,2,1,3,29
"E418_POOLRET73_S500_L003",418,1,6,3,0,6,1,4,20,0.9751713,0,0,0,20
"E419_POOLRET73_S523_L003",419,1,5,4,2,6,6,2,25,0.971488717,1,0,1,26
"E420_POOLRET72_S210_L002",420,1,9,1,2,3,2,4,21,0.9758207,3,0,3,24
"E421_POOLRET73_S567_L003",421,1,2,1,0,2,1,0,6,0.969476918,1,1,2,8
"E422_POOLRET73_S561_L003",422,1,3,3,3,5,3,0,17,0.973466492,3,0,3,20
"E424_POOLRET72_S370_L002",424,1,2,1,3,2,2,5,15,0.974935914,4,0,4,19
"E425_POOLRET73_S563_L003",425,1,9,3,0,3,0,4,19,0.97716146,3,1,4,23
"E426_POOLRET72_S234_L002",426,1,9,3,5,3,2,2,24,0.975244979,6,3,9,33
"E429_POOLRET73_S533_L003",429,1,10,0,4,3,3,2,22,0.975516601,1,1,2,24
"E430_POOLRET72_S380_L002",430,1,5,4,4,1,6,5,25,0.976039463,1,0,1,26
"E431_POOLRET73_S454_L003",431,1,4,0,4,2,2,2,14,0.976791001,3,3,6,20
"E432_POOLRET72_S367_L002",432,1,5,2,5,0,3,1,16,0.964160355,1,0,1,17
"E433_POOLRET72_S200_L002",433,1,5,1,1,2,2,2,13,0.967951816,2,1,3,16
"E434_POOLRET72_S202_L002",434,1,0,0,0,0,0,1,1,0.966688106,0,0,0,1
"E435_POOLRET72_S378_L002",435,1,8,0,6,1,1,5,21,0.956196474,2,1,3,24
"E436_POOLRET72_S320_L002",436,1,7,2,2,0,0,6,17,0.97690317,1,2,3,20
"E437_POOLRET72_S315_L002",437,1,7,2,8,5,3,7,32,0.975022635,4,1,5,37
"E438_POOLRET72_S246_L002",438,1,6,0,4,2,2,6,20,0.978818903,2,2,4,24
"E439_POOLRET73_S425_L003",439,1,8,0,3,3,1,2,17,0.972085557,3,0,3,20
"E440_POOLRET73_S385_L003",440,1,5,2,5,4,2,1,19,0.974696569,2,2,4,23
