"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",8,7,2,5,1,3,26,0.977850776,4,1,5,31
"E401_POOLRET73_S389_L003",3,2,2,5,1,4,17,0.963420404,4,2,6,23
"E402_POOLRET72_S359_L002",9,2,3,2,0,2,18,0.973925916,1,3,4,22
"E403_POOLRET73_S421_L003",10,2,3,6,3,5,29,0.967777904,6,1,7,36
"E404_POOLRET72_S280_L002",6,1,4,1,1,1,14,0.972804508,1,1,2,16
"E406_POOLRET73_S403_L003",5,6,3,3,3,4,24,0.974240914,2,3,5,29
"E407_POOLRET73_S467_L003",6,3,3,5,1,3,21,0.97472089,3,3,6,27
"E408_POOLRET72_S251_L002",5,2,2,0,0,4,13,0.97808683,2,2,4,17
"E410_POOLRET73_S390_L003",5,2,3,5,1,1,17,0.976774568,6,2,8,25
"E411_POOLRET72_S300_L002",8,6,2,4,1,6,27,0.966869516,2,0,2,29
"E414_POOLRET72_S368_L002",12,0,1,3,1,3,20,0.974958898,3,0,3,23
"E415_POOLRET72_S354_L002",8,0,2,1,1,6,18,0.973252884,2,2,4,22
"E416_POOLRET73_S423_L003",4,0,3,0,1,0,8,0.975159314,0,1,1,9
"E417_POOLRET73_S445_L003",4,6,4,6,1,2,23,0.96275148,3,2,5,28
"E418_POOLRET73_S500_L003",8,1,1,5,2,3,20,0.9751713,3,0,3,23
"E419_POOLRET73_S523_L003",5,2,5,5,2,4,23,0.971488717,10,3,13,36
"E420_POOLRET72_S210_L002",10,3,2,5,4,3,27,0.9758207,4,1,5,32
"E421_POOLRET73_S567_L003",9,3,6,4,2,0,24,0.969476918,5,0,5,29
"E422_POOLRET73_S561_L003",3,0,3,2,1,4,13,0.973466492,3,4,7,20
"E424_POOLRET72_S370_L002",6,2,2,8,2,9,29,0.974935914,3,1,4,33
"E425_POOLRET73_S563_L003",3,0,4,3,0,5,15,0.97716146,6,2,8,23
"E426_POOLRET72_S234_L002",5,0,7,6,1,3,22,0.975244979,13,72,85,107
"E429_POOLRET73_S533_L003",8,2,5,4,1,4,24,0.975516601,1,1,2,26
"E430_POOLRET72_S380_L002",3,0,4,3,1,0,11,0.976039463,1,1,2,13
"E431_POOLRET73_S454_L003",11,1,0,2,4,1,19,0.976791001,2,0,2,21
"E432_POOLRET72_S367_L002",6,1,2,3,2,3,17,0.964160355,2,0,2,19
"E433_POOLRET72_S200_L002",11,2,2,1,4,3,23,0.967951816,1,2,3,26
"E434_POOLRET72_S202_L002",19,4,6,5,3,4,41,0.966688106,9,1,10,51
"E435_POOLRET72_S378_L002",3,4,5,2,3,2,19,0.956196474,0,1,1,20
"E436_POOLRET72_S320_L002",6,4,4,3,3,1,21,0.97690317,2,1,3,24
"E437_POOLRET72_S315_L002",8,1,1,6,0,3,19,0.975022635,1,1,2,21
"E438_POOLRET72_S246_L002",6,3,1,1,3,5,19,0.978818903,8,2,10,29
"E439_POOLRET73_S425_L003",2,0,4,1,0,3,10,0.972085557,0,1,1,11
"E440_POOLRET73_S385_L003",7,3,1,3,1,4,19,0.974696569,0,0,0,19
"E441_POOLRET72_S363_L002",9,1,3,3,0,3,19,0.975011936,4,2,6,25
"E442_POOLRET72_S350_L002",3,1,8,6,4,2,24,0.975687132,5,2,7,31
"E444_POOLRET73_S442_L003",10,3,1,1,4,2,21,0.975686903,2,1,3,24
"E445_POOLRET73_S401_L003",10,3,2,3,0,2,20,0.975292752,2,3,5,25
"E447_POOLRET73_S430_L003",11,0,3,2,1,5,22,0.974693747,2,2,4,26
"E448_POOLRET73_S543_L003",9,2,2,7,1,1,22,0.97635832,2,0,2,24
"E451_POOLRET72_S252_L002",2,2,5,3,3,1,16,0.966519538,1,1,2,18
