"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",12,10,6,10,4,5,47,0.977850776,8,1,9,56
"E401_POOLRET73_S389_L003",11,3,3,6,2,11,36,0.963420404,7,2,9,45
"E402_POOLRET72_S359_L002",14,2,6,7,0,7,36,0.973925916,1,3,4,40
"E403_POOLRET73_S421_L003",15,3,5,12,9,6,50,0.967777904,13,5,18,68
"E404_POOLRET72_S280_L002",14,1,5,2,1,3,26,0.972804508,2,3,5,31
"E406_POOLRET73_S403_L003",14,7,5,5,3,7,41,0.974240914,6,3,9,50
"E407_POOLRET73_S467_L003",14,7,9,8,3,7,48,0.97472089,3,4,7,55
"E408_POOLRET72_S251_L002",10,2,4,2,1,5,24,0.97808683,2,3,5,29
"E410_POOLRET73_S390_L003",13,5,3,6,4,3,34,0.976774568,10,3,13,47
"E411_POOLRET72_S300_L002",16,6,4,8,2,8,44,0.966869516,3,2,5,49
"E414_POOLRET72_S368_L002",23,0,7,5,4,6,45,0.974958898,3,1,4,49
"E415_POOLRET72_S354_L002",12,3,6,4,4,10,39,0.973252884,4,2,6,45
"E416_POOLRET73_S423_L003",10,0,3,1,3,1,18,0.975159314,0,1,1,19
"E417_POOLRET73_S445_L003",17,9,8,9,1,5,49,0.96275148,5,3,8,57
"E418_POOLRET73_S500_L003",14,4,1,11,3,7,40,0.9751713,3,0,3,43
"E419_POOLRET73_S523_L003",10,6,7,11,8,6,48,0.971488717,11,3,14,62
"E420_POOLRET72_S210_L002",19,4,4,8,6,7,48,0.9758207,7,1,8,56
"E421_POOLRET73_S567_L003",11,4,6,6,3,0,30,0.969476918,6,1,7,37
"E422_POOLRET73_S561_L003",6,3,6,7,4,4,30,0.973466492,6,4,10,40
"E424_POOLRET72_S370_L002",8,3,5,10,4,14,44,0.974935914,7,1,8,52
"E425_POOLRET73_S563_L003",12,3,4,6,0,9,34,0.97716146,9,3,12,46
"E426_POOLRET72_S234_L002",14,3,12,9,3,5,46,0.975244979,19,75,94,140
"E429_POOLRET73_S533_L003",18,2,9,7,4,6,46,0.975516601,2,2,4,50
"E430_POOLRET72_S380_L002",8,4,8,4,7,5,36,0.976039463,2,1,3,39
"E431_POOLRET73_S454_L003",15,1,4,4,6,3,33,0.976791001,5,3,8,41
"E432_POOLRET72_S367_L002",11,3,7,3,5,4,33,0.964160355,3,0,3,36
"E433_POOLRET72_S200_L002",16,3,3,3,6,5,36,0.967951816,3,3,6,42
"E434_POOLRET72_S202_L002",19,4,6,5,3,5,42,0.966688106,9,1,10,52
"E435_POOLRET72_S378_L002",11,4,11,3,4,7,40,0.956196474,2,2,4,44
"E436_POOLRET72_S320_L002",13,6,6,3,3,7,38,0.97690317,3,3,6,44
"E437_POOLRET72_S315_L002",15,3,9,11,3,10,51,0.975022635,5,2,7,58
"E438_POOLRET72_S246_L002",12,3,5,3,5,11,39,0.978818903,10,4,14,53
"E439_POOLRET73_S425_L003",10,0,7,4,1,5,27,0.972085557,3,1,4,31
"E440_POOLRET73_S385_L003",12,5,6,7,3,5,38,0.974696569,2,2,4,42
"E441_POOLRET72_S363_L002",18,3,7,7,1,4,40,0.975011936,4,4,8,48
"E442_POOLRET72_S350_L002",8,4,11,7,5,3,38,0.975687132,7,8,15,53
"E444_POOLRET73_S442_L003",12,3,5,5,10,6,41,0.975686903,4,1,5,46
"E445_POOLRET73_S401_L003",24,7,5,8,1,4,49,0.975292752,4,5,9,58
"E447_POOLRET73_S430_L003",17,1,5,8,6,6,43,0.974693747,7,4,11,54
"E448_POOLRET73_S543_L003",14,4,4,11,1,2,36,0.97635832,4,0,4,40
"E451_POOLRET72_S252_L002",10,9,8,5,5,3,40,0.966519538,2,1,3,43
"E456_POOLRET72_S356_L002",10,1,4,1,1,3,20,0.975407922,5,1,6,26
"E457_POOLRET73_S512_L003",12,3,6,7,4,10,42,0.971795209,2,4,6,48
"E465_POOLRET72_S366_L002",19,2,11,4,10,8,54,0.955193945,6,7,13,67
"E467_POOLRET72_S201_L002",11,3,4,7,5,5,35,0.971931618,0,2,2,37
"E468_POOLRET73_S562_L003",14,5,5,9,9,7,49,0.955343636,9,2,11,60
"E469_POOLRET72_S383_L002",11,0,4,3,0,7,25,0.948536721,2,4,6,31
"E470_POOLRET72_S323_L002",11,2,7,6,5,6,37,0.977295546,6,2,8,45
"E471_POOLRET73_S483_L003",12,3,5,10,3,10,43,0.971039224,4,6,10,53
"E473_POOLRET72_S263_L002",12,6,10,4,2,5,39,0.96986743,5,1,6,45
"E474_POOLRET72_S266_L002",16,5,7,5,6,3,42,0.976553671,5,3,8,50
"E475_POOLRET72_S196_L002",14,4,4,5,3,3,33,0.950087998,8,2,10,43
"E476_POOLRET72_S362_L002",17,4,4,10,4,9,48,0.977634106,5,3,8,56
"E481_POOLRET72_S296_L002",17,4,5,6,4,8,44,0.97199735,5,4,9,53
"E482_POOLRET73_S468_L003",15,1,3,3,3,8,33,0.97593224,7,2,9,42
"E483_POOLRET72_S381_L002",5,6,8,7,6,6,38,0.976446557,7,3,10,48
"E485_POOLRET72_S372_L002",18,6,12,12,2,4,54,0.967223512,9,3,12,66
