"Sample","GC_to_AT","GC_to_CG","GC_to_TA","AT_to_GC","AT_to_CG","AT_to_TA","Total.snp","Coverage","Deletions","Insertions","Total.indels","Total_mutations"
"E400_POOLRET72_S275_L002",9,7,2,6,2,8,34,0.977850776,6,2,8,42
"E401_POOLRET73_S389_L003",3,2,2,5,1,10,23,0.963420404,5,3,8,31
"E402_POOLRET72_S359_L002",9,2,4,2,1,4,22,0.973925916,3,4,7,29
"E403_POOLRET73_S421_L003",11,2,3,6,3,12,37,0.967777904,6,3,9,46
"E404_POOLRET72_S280_L002",9,2,4,3,2,9,29,0.972804508,5,1,6,35
"E406_POOLRET73_S403_L003",5,6,3,3,3,6,26,0.974240914,5,5,10,36
"E407_POOLRET73_S467_L003",6,3,3,5,1,4,22,0.97472089,4,4,8,30
"E408_POOLRET72_S251_L002",7,2,2,0,0,11,22,0.97808683,4,3,7,29
"E410_POOLRET73_S390_L003",5,2,3,6,2,4,22,0.976774568,8,6,14,36
"E411_POOLRET72_S300_L002",8,6,2,5,3,13,37,0.966869516,7,3,10,47
"E414_POOLRET72_S368_L002",13,0,1,3,2,14,33,0.974958898,4,0,4,37
"E415_POOLRET72_S354_L002",8,0,2,1,1,8,20,0.973252884,2,4,6,26
"E416_POOLRET73_S423_L003",5,1,3,0,1,3,13,0.975159314,1,2,3,16
"E417_POOLRET73_S445_L003",4,6,4,6,1,11,32,0.96275148,7,4,11,43
"E418_POOLRET73_S500_L003",8,1,2,6,2,7,26,0.9751713,7,1,8,34
"E419_POOLRET73_S523_L003",5,2,5,6,3,8,29,0.971488717,12,5,17,46
"E420_POOLRET72_S210_L002",11,3,3,7,4,12,40,0.9758207,4,1,5,45
"E421_POOLRET73_S567_L003",9,3,7,4,2,6,31,0.969476918,5,3,8,39
"E422_POOLRET73_S561_L003",3,0,3,2,2,10,20,0.973466492,5,6,11,31
"E424_POOLRET72_S370_L002",7,2,4,9,2,12,36,0.974935914,3,2,5,41
"E425_POOLRET73_S563_L003",3,0,4,4,1,9,21,0.97716146,10,3,13,34
"E426_POOLRET72_S234_L002",5,0,7,7,1,6,26,0.975244979,14,75,89,115
"E429_POOLRET73_S533_L003",9,2,5,4,1,7,28,0.975516601,3,1,4,32
"E430_POOLRET72_S380_L002",3,0,4,3,1,3,14,0.976039463,2,1,3,17
"E431_POOLRET73_S454_L003",13,1,2,2,4,2,24,0.976791001,7,3,10,34
"E432_POOLRET72_S367_L002",6,1,3,4,2,8,24,0.964160355,4,1,5,29
"E433_POOLRET72_S200_L002",11,3,2,1,4,7,28,0.967951816,2,4,6,34
"E434_POOLRET72_S202_L002",20,5,7,5,3,18,58,0.966688106,10,2,12,70
"E435_POOLRET72_S378_L002",3,4,5,2,3,10,27,0.956196474,2,2,4,31
"E436_POOLRET72_S320_L002",6,4,4,3,4,2,23,0.97690317,4,2,6,29
"E437_POOLRET72_S315_L002",9,1,1,6,0,9,26,0.975022635,3,3,6,32
"E438_POOLRET72_S246_L002",6,3,2,2,4,12,29,0.978818903,12,3,15,44
"E439_POOLRET73_S425_L003",2,0,4,1,0,7,14,0.972085557,0,2,2,16
"E440_POOLRET73_S385_L003",7,4,1,3,1,6,22,0.974696569,2,0,2,24
"E441_POOLRET72_S363_L002",9,1,3,3,0,6,22,0.975011936,8,4,12,34
"E442_POOLRET72_S350_L002",4,1,8,7,4,7,31,0.975687132,9,3,12,43
"E444_POOLRET73_S442_L003",11,3,1,1,4,7,27,0.975686903,5,5,10,37
"E445_POOLRET73_S401_L003",10,3,4,4,0,8,29,0.975292752,6,3,9,38
"E447_POOLRET73_S430_L003",12,0,3,3,1,10,29,0.974693747,2,5,7,36
"E448_POOLRET73_S543_L003",9,2,2,7,1,2,23,0.97635832,5,1,6,29
"E451_POOLRET72_S252_L002",4,2,6,4,4,3,23,0.966519538,4,5,9,32
"E456_POOLRET72_S356_L002",3,1,1,3,0,3,11,0.975407922,7,1,8,19
"E457_POOLRET73_S512_L003",7,1,3,2,3,14,30,0.971795209,2,4,6,36
"E465_POOLRET72_S366_L002",13,2,6,3,7,7,38,0.955193945,4,9,13,51
"E467_POOLRET72_S201_L002",3,2,3,5,3,5,21,0.971931618,3,2,5,26
"E468_POOLRET73_S562_L003",5,4,1,5,6,8,29,0.955343636,10,3,13,42
"E469_POOLRET72_S383_L002",8,1,4,1,0,10,24,0.948536721,3,6,9,33
"E470_POOLRET72_S323_L002",6,1,1,3,5,5,21,0.977295546,6,2,8,29
"E471_POOLRET73_S483_L003",6,3,2,5,2,11,29,0.971039224,6,2,8,37
"E473_POOLRET72_S263_L002",6,3,4,2,2,5,22,0.96986743,4,4,8,30
"E474_POOLRET72_S266_L002",5,2,4,2,4,7,24,0.976553671,2,5,7,31
"E475_POOLRET72_S196_L002",9,3,3,4,2,8,29,0.950087998,6,3,9,38
"E476_POOLRET72_S362_L002",12,4,2,8,3,7,36,0.977634106,3,2,5,41
"E481_POOLRET72_S296_L002",8,0,4,1,1,4,18,0.97199735,5,1,6,24
"E482_POOLRET73_S468_L003",9,1,2,3,0,11,26,0.97593224,9,2,11,37
"E483_POOLRET72_S381_L002",4,4,5,5,5,14,37,0.976446557,8,6,14,51
"E485_POOLRET72_S372_L002",11,6,6,8,2,7,40,0.967223512,8,4,12,52
"E486_POOLRET73_S531_L003",4,1,8,3,8,5,29,0.973087538,8,2,10,39
"E488_POOLRET72_S195_L002",7,4,5,4,4,10,34,0.97518507,13,2,15,49
"E489_POOLRET73_S488_L003",11,2,2,4,1,4,24,0.966218231,2,2,4,28
"E490_POOLRET72_S288_L002",6,4,4,2,1,4,21,0.972880002,3,2,5,26
"E491_POOLRET72_S214_L002",7,1,1,3,5,5,22,0.971217414,3,5,8,30
"E492_POOLRET73_S508_L003",6,1,4,2,2,8,23,0.971187749,7,6,13,36
"E493_POOLRET72_S227_L002",8,5,4,5,0,4,26,0.97861736,3,3,6,32
"E495_POOLRET72_S211_L002",8,5,0,6,2,11,32,0.973704082,2,8,10,42
"E496_POOLRET73_S535_L003",7,0,2,4,4,5,22,0.95718581,7,3,10,32
"E497_POOLRET73_S392_L003",11,2,7,4,5,9,38,0.975721414,7,2,9,47
"E499_POOLRET72_S231_L002",7,5,2,1,0,7,22,0.966589279,5,1,6,28
"H7GWFDSX7_E405_POOLRET74",14,2,1,1,2,5,25,0.980276399,13,12,25,50
"H7GWFDSX7_E412_POOLRET74",6,2,3,0,3,8,22,0.976032822,9,3,12,34
"H7GWFDSX7_E413_POOLRET74",3,3,1,3,1,8,19,0.974966426,5,8,13,32
"H7GWFDSX7_E423_POOLRET74",13,4,4,4,1,9,35,0.977437689,2,3,5,40
"H7GWFDSX7_E427_POOLRET74",7,1,5,1,4,11,29,0.974425565,7,2,9,38
"H7GWFDSX7_E428_POOLRET74",13,1,2,3,3,7,29,0.980204814,7,2,9,38
"H7GWFDSX7_E443_POOLRET74",6,2,2,6,3,8,27,0.980491702,7,5,12,39
"H7GWFDSX7_E446_POOLRET74",13,6,11,9,8,10,57,0.98045759,10,11,21,78
"H7GWFDSX7_E449_POOLRET74",5,3,6,4,3,5,26,0.965858432,3,2,5,31
"H7GWFDSX7_E450_POOLRET74",7,1,2,7,0,10,27,0.979434021,7,2,9,36
"H7GWFDSX7_E452_POOLRET74",9,4,3,3,3,4,26,0.973632168,6,3,9,35
"H7GWFDSX7_E453_POOLRET74",8,2,4,2,3,8,27,0.973158385,5,6,11,38
"H7GWFDSX7_E454_POOLRET74",8,0,3,6,0,3,20,0.966699613,7,3,10,30
"H7GWFDSX7_E455_POOLRET74",13,0,3,3,6,10,35,0.975124883,2,2,4,39
"H7GWFDSX7_E458_POOLRET74",7,4,3,1,3,7,25,0.943608197,7,6,13,38
"H7GWFDSX7_E459_POOLRET74",12,5,4,5,3,7,36,0.976615852,5,2,7,43
"H7GWFDSX7_E460_POOLRET74",7,2,5,4,3,7,28,0.980036855,12,4,16,44
"H7GWFDSX7_E461_POOLRET74",8,0,8,2,1,12,31,0.977258412,4,2,6,37
"H7GWFDSX7_E462_POOLRET74",9,2,3,4,2,15,35,0.974310495,3,10,13,48
"H7GWFDSX7_E463_POOLRET74",7,0,3,5,3,11,29,0.980336865,10,3,13,42
"H7GWFDSX7_E464_POOLRET74",5,3,6,4,2,10,30,0.977576172,3,2,5,35
"H7GWFDSX7_E466_POOLRET74",4,1,1,5,1,9,21,0.971299887,5,5,10,31
"H7GWFDSX7_E472_POOLRET74",2,1,1,1,2,6,13,0.979084841,4,3,7,20
"H7GWFDSX7_E477_POOLRET74",9,5,3,3,3,7,30,0.976434153,8,3,11,41
"H7GWFDSX7_E478_POOLRET74",5,3,4,4,2,11,29,0.978988238,8,2,10,39
"H7GWFDSX7_E479_POOLRET74",11,3,1,4,2,7,28,0.975571005,6,3,9,37
